"x","y","z","vsx_rx","optix","domain","density","knnd","sample"
24591.30078125,31629.099609375,-128.169998168945,731.5,2379,"Optix",3.01186193085865e-06,4.41075909050119,"Larval brain 1"
24580.099609375,31617.80078125,-124.958999633789,857.5,2177,"Optix",2.54695838883139e-06,4.75835180345498,"Larval brain 1"
24549.80078125,31592.5,-139.098999023438,2209,3047,"Rx",1.9769819203026e-06,4.48687961838536,"Larval brain 1"
24582.69921875,31620.099609375,-127.629997253418,853.5,2257,"Optix",2.92818036578537e-06,4.2127800303982,"Larval brain 1"
24609,31643.599609375,-123.28099822998,979.5,1599,"Optix",2.04265889090661e-06,6.94535676976006,"Larval brain 1"
24569.69921875,31611.099609375,-134.177001953125,813,2281,"Optix",2.29089034849932e-06,4.85435487884186,"Larval brain 1"
24552.69921875,31597.5,-139.029006958008,2009,2579,"Rx",2.00662091834786e-06,4.31582115402465,"Larval brain 1"
24576.69921875,31617.5,-132.727996826172,776.5,2418,"Optix",2.27970375899504e-06,4.6747972985777,"Larval brain 1"
24547.30078125,31590,-140.182006835938,2001,2927,"Rx",1.41698054663074e-06,3.74651266778058,"Larval brain 1"
24543.80078125,31586.900390625,-138.960998535156,1843,2683,"Rx",1.75057293972904e-06,3.99793605960501,"Larval brain 1"
24590.19921875,31626.099609375,-122.545997619629,695.5,2091,"Optix",2.3854774808045e-06,4.50235870382074,"Larval brain 1"
24540.099609375,31583.400390625,-140.044998168945,1897,2343,"Rx",1.23642080461517e-06,4.949833661087,"Larval brain 1"
24594.900390625,31632.400390625,-126.121002197266,776.5,2457,"Optix",3.02160332208455e-06,4.48618124320003,"Larval brain 1"
24587.400390625,31624.30078125,-124.116996765137,772.5,2173,"Optix",2.77976294961472e-06,4.58404335447591,"Larval brain 1"
24599.5,31637.80078125,-124.035003662109,777,2055,"Optix",2.58541210036975e-06,6.45167372508935,"Larval brain 1"
24566.099609375,31611.400390625,-139.259994506836,898.5,2297,"Optix",1.47578769082561e-06,3.96412181453662,"Larval brain 1"
24556,31601.5,-138.578002929688,1730,2005,"Rx",2.19013501717962e-06,4.68352152004361,"Larval brain 1"
24596.30078125,31636.599609375,-130.11799621582,650.5,2123,"Optix",2.42833736532457e-06,5.36227485285724,"Larval brain 1"
24567.80078125,31612.69921875,-136.751998901367,857,2461,"Optix",2.14181480113374e-06,4.12590190992455,"Larval brain 1"
24574.099609375,31619.80078125,-133.389999389648,812.5,2249,"Optix",2.33800808009178e-06,5.21097777568273,"Larval brain 1"
24588.099609375,31630.30078125,-132.841995239258,690.5,2005,"Optix",1.95253806211874e-06,5.41603289911047,"Larval brain 1"
24588.900390625,31630.5,-126.107002258301,731,2307,"Optix",3.06558981624326e-06,4.2816992764177,"Larval brain 1"
24591.599609375,31636.099609375,-132.686004638672,740.5,2081,"Optix",1.80654788625861e-06,5.51230023117172,"Larval brain 1"
24538.69921875,31585.30078125,-137.789993286133,2041,2414,"Rx",1.90286741064762e-06,4.25006946296242,"Larval brain 1"
24576.400390625,31616.80078125,-126.734001159668,772.5,2293,"Optix",2.73214523560756e-06,4.79790292572781,"Larval brain 1"
24566.599609375,31608.5,-124.218002319336,1097,1359,"Rx",1.70802717145759e-06,10.501859892027,"Larval brain 1"
24563.69921875,31609.30078125,-139.444000244141,690.5,2375,"Optix",1.50890879589363e-06,4.17710324817876,"Larval brain 1"
24543,31589,-139.537002563477,2030,3019,"Rx",1.61831627515836e-06,3.23325054378378,"Larval brain 1"
24585.80078125,31630.900390625,-135.494003295898,655,1786,"Optix",1.35253620311696e-06,5.89477705328938,"Larval brain 1"
24560.19921875,31608.30078125,-137.589004516602,893,2371,"Optix",2.3321417019209e-06,4.30847166744824,"Larval brain 1"
24544.80078125,31591.80078125,-140.289001464844,1847,3089,"Rx",1.41468665006833e-06,3.7473552455616,"Larval brain 1"
24590.80078125,31632.599609375,-127.283996582031,731.5,2593,"Optix",3.05672162869688e-06,3.860323699566,"Larval brain 1"
24535.30078125,31582.599609375,-138.410003662109,1933,1885,"Rx",1.55760792504904e-06,5.95940285455057,"Larval brain 1"
24600.900390625,31628.80078125,-128.617004394531,772.5,2173,"Optix",2.76273603426631e-06,4.61258845368963,"Larval brain 1"
24607.599609375,31639.30078125,-127.987998962402,817.5,1915,"Optix",2.43509918943694e-06,5.63004440647511,"Larval brain 1"
24613,31640.30078125,-125.375,934.5,1639,"Optix",2.33823727883049e-06,5.58326650863416,"Larval brain 1"
24590.80078125,31618.599609375,-121.603996276855,893.5,2009,"Optix",2.01687996579738e-06,5.01279429132436,"Larval brain 1"
24600.30078125,31633.30078125,-131.957992553711,773,2087,"Optix",1.80641789561219e-06,5.78448131702696,"Larval brain 1"
24589.5,31624.099609375,-139.363998413086,731.5,1757,"Optix",6.60430944651849e-07,6.29266038707451,"Larval brain 1"
24585,31619.400390625,-138.878997802734,772.5,1969,"Optix",8.64175522745446e-07,5.64520205689498,"Larval brain 1"
